task,domain,origin,crisis_overlap,crisis_quarters,seed,generator,crps,qwcrps,energy,variogram,cov80,cov95,width80,width95
conditional,UK,2019Q4,True,8,7,Gaussian GIB-VAR,1.603857,1.396759,43.735861,1.520264,0.726190,0.880952,2.169108,3.362431
conditional,UK,2019Q4,True,8,19,Gaussian GIB-VAR,1.600380,1.395010,43.886127,1.514770,0.726190,0.880952,2.134628,3.287372
conditional,UK,2019Q4,True,8,43,Gaussian GIB-VAR,1.601167,1.393941,43.705452,1.514832,0.726190,0.869048,2.187104,3.371379
conditional,UK,2020Q4,True,4,7,Gaussian GIB-VAR,1.301502,1.052719,20.987342,0.385645,0.726190,0.797619,3.157266,4.977126
conditional,UK,2020Q4,True,4,19,Gaussian GIB-VAR,1.307993,1.048398,21.006086,0.374463,0.738095,0.797619,3.163677,4.970528
conditional,UK,2020Q4,True,4,43,Gaussian GIB-VAR,1.307764,1.055911,20.856124,0.381083,0.714286,0.809524,3.191609,4.957312
conditional,UK,2021Q4,False,0,7,Gaussian GIB-VAR,0.929008,0.787710,11.654084,0.356523,0.642857,0.678571,2.199120,3.561921
conditional,UK,2021Q4,False,0,19,Gaussian GIB-VAR,0.928679,0.791530,11.766402,0.358904,0.642857,0.678571,2.183905,3.518043
conditional,UK,2021Q4,False,0,43,Gaussian GIB-VAR,0.939170,0.800765,11.853580,0.361109,0.642857,0.678571,2.147842,3.473049
conditional,UK,2022Q4,False,0,7,Gaussian GIB-VAR,0.757058,0.611153,9.056352,0.346292,0.607143,0.809524,2.636771,3.995517
conditional,UK,2022Q4,False,0,19,Gaussian GIB-VAR,0.753428,0.608908,8.797874,0.343329,0.607143,0.809524,2.691031,3.975248
conditional,UK,2022Q4,False,0,43,Gaussian GIB-VAR,0.754121,0.609772,9.159686,0.338686,0.607143,0.821429,2.604073,3.931955
conditional,UK,2015Q4,False,0,7,Student-t GIB-VAR,0.542569,0.378549,6.018603,0.170841,0.619048,0.952381,2.071908,3.447093
conditional,UK,2015Q4,False,0,19,Student-t GIB-VAR,0.562791,0.400208,6.142918,0.173958,0.654762,0.940476,2.086584,3.466494
conditional,UK,2015Q4,False,0,43,Student-t GIB-VAR,0.542289,0.381568,5.849581,0.173447,0.654762,0.952381,2.117207,3.470598
conditional,UK,2016Q4,False,0,7,Student-t GIB-VAR,0.314697,0.240328,3.777065,0.117583,0.880952,0.952381,1.820816,2.877806
conditional,UK,2016Q4,False,0,19,Student-t GIB-VAR,0.322607,0.244236,4.006074,0.118568,0.880952,0.964286,1.869142,2.917926
